"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "YAML", "comment", "blank", "total"
"e:\dungeon-of-aurora-front\src\components\molecules\Proficiency\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"e:\dungeon-of-aurora-front\src\components\molecules\Proficiency\styles.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"e:\dungeon-of-aurora-front\src\components\molecules\RaceSelector\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"e:\dungeon-of-aurora-front\src\components\molecules\RaceSelector\styles.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"e:\dungeon-of-aurora-front\src\components\molecules\SpellDescritionModal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 15, 102
"e:\dungeon-of-aurora-front\src\components\molecules\SpellDescritionModal\styles.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 13, 68
"e:\dungeon-of-aurora-front\src\components\molecules\SpellList\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 9, 77
"e:\dungeon-of-aurora-front\src\components\molecules\SpellList\styles.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 9, 55
"e:\dungeon-of-aurora-front\src\components\molecules\SpellSlots\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 14, 91
"e:\dungeon-of-aurora-front\src\components\molecules\SpellSlots\styles.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"e:\dungeon-of-aurora-front\src\components\molecules\SpellsFilters\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 6, 54
"e:\dungeon-of-aurora-front\src\components\molecules\SpellsFilters\styles.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"e:\dungeon-of-aurora-front\src\components\molecules\SubClassCharacteristics\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 7, 58
"e:\dungeon-of-aurora-front\src\components\molecules\SubClassCharacteristics\styles.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 12, 82
"e:\dungeon-of-aurora-front\src\components\molecules\SubClassDropdown\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 7, 74
"e:\dungeon-of-aurora-front\src\components\molecules\SubClassDropdown\styles.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 9, 60
"e:\dungeon-of-aurora-front\src\components\molecules\index.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"e:\dungeon-of-aurora-front\src\components\organisms\Capabilities\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 10, 66
"e:\dungeon-of-aurora-front\src\components\organisms\Capabilities\styles.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\dungeon-of-aurora-front\src\components\organisms\LoginModal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 10, 134
"e:\dungeon-of-aurora-front\src\components\organisms\LoginModal\styles.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 15, 85
"e:\dungeon-of-aurora-front\src\components\organisms\RegisterModal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 11, 142
"e:\dungeon-of-aurora-front\src\components\organisms\RegisterModal\styles.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 13, 67
"e:\dungeon-of-aurora-front\src\components\organisms\SpellAditionModal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 15, 162
"e:\dungeon-of-aurora-front\src\components\organisms\SpellAditionModal\styles.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 15, 94
"e:\dungeon-of-aurora-front\src\components\organisms\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\dungeon-of-aurora-front\src\components\pages\CharacterPage\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 7, 103
"e:\dungeon-of-aurora-front\src\components\pages\CharacterPage\styles.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\dungeon-of-aurora-front\src\components\pages\Entry\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 4, 26
"e:\dungeon-of-aurora-front\src\components\pages\Entry\styles.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"e:\dungeon-of-aurora-front\src\components\pages\NotFound\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
